rep,id,fM1,theta,group
15,8,2.29398692453512,15.6376806658938,simulationGroup1
15,9,3.17903075223347,14.706318393512,simulationGroup1
15,10,6.97981212097672,17.7672019439476,simulationGroup1
15,11,7.71811796003791,22.4328640025133,simulationGroup1
15,12,11.2426562444462,14.2152904288137,simulationGroup1
15,13,5.93876027141247,17.292816144071,simulationGroup1
15,14,0.9847568889634525,18.7283747368195,simulationGroup1
15,15,5.60280616192396,36.56349769173,simulationGroup1
16,1,4.55142506254581,8.24154002398721,simulationGroup1
16,2,3.78466082407441,11.7347962625862,simulationGroup1
16,3,2.08106431924151,14.1475147633425,simulationGroup1
16,4,1.22104321425031,16.4360922343785,simulationGroup1
16,5,7.50566986438492,37.2135029970763,simulationGroup1
16,6,3.24619776807989,18.5085541002616,simulationGroup1
16,7,3.50173999468713,18.8894477210784,simulationGroup1
16,8,2.75265522016976,20.9809464208274,simulationGroup1
16,9,21.3126832996775,21.6227004817284,simulationGroup1
16,10,0.6623011500894948,10.1840877792348,simulationGroup1
16,11,0.8861926949765352,10.3360262603738,simulationGroup1
16,12,0.663332795889096,10.7380033979305,simulationGroup1
16,13,2.06559340161865,37.0665545636665,simulationGroup1
16,14,6.3254267251261,10.8462162554262,simulationGroup1
16,15,2.66793869605147,14.9084962909898,simulationGroup1
17,1,4.96457973777442,20.2098211908036,simulationGroup1
17,2,1.48159819479702,19.1127164374441,simulationGroup1
17,3,2.69883953368992,25.0495846506291,simulationGroup1
17,4,3.66005466202308,9.02838063881213,simulationGroup1
17,5,4.17665852477627,35.4786643852387,simulationGroup1
17,6,1.30933857452902,20.1343502380149,simulationGroup1
17,7,1.3065017047949,14.5564404561943,simulationGroup1
17,8,7.37565078269741,36.5068102943531,simulationGroup1
17,9,5.21031423555711,50.7222676976964,simulationGroup1
17,10,1.49660479251776,10.4892319110897,simulationGroup1
17,11,6.58053254855149,14.5396639937714,simulationGroup1
17,12,24.5830224629454,16.2094335921027,simulationGroup1
17,13,2.325646507287,25.2300565044517,simulationGroup1
17,14,2.37204974014496,18.0161309652707,simulationGroup1
