rep,fM1_pop,omega_fM1,theta_pop,omega_theta,delta_V,delta_S,delta_Ab,alpha,k,sigma_Ab,sigma_G1,sigma_G2,group
82,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
82,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
83,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
83,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
84,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
84,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
85,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
85,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
86,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
86,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
87,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
87,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
88,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
88,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
89,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
89,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
90,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
90,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
91,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
